step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.852870969963499,12,50.0
120,121.0,84,9.57269051536158,21,145.0
130,131.0,90,10.173054511150466,20,222.0
140,141.0,99,8.714851509254935,25,230.0
150,151.0,105,8.689109508540088,26,289.0
160,161.0,111,9.21743876848372,20,115.0
170,171.0,114,10.202169876047725,19,87.0
180,181.0,122,9.759240355367897,26,176.0
190,191.0,128,9.049825063280004,28,210.0
200,201.0,133,9.605880214889757,24,178.0
210,211.0,136,9.616239330727506,24,166.0
220,221.0,141,9.115255670162238,32,262.0
230,231.0,146,8.719885430151885,36,345.0
240,241.0,150,8.523760126009394,37,410.0
250,251.0,153,8.874538034818029,35,517.0
260,261.0,158,8.253584462976212,46,745.0
270,271.0,160,8.529281658427589,27,256.0
280,281.0,156,9.219905482860387,26,97.0
290,291.0,160,9.795873238062537,30,214.0
300,301.0,155,9.772484693111972,32,276.0
310,311.0,158,10.126732506099101,22,133.0
320,321.0,158,9.765341788927644,34,266.0
330,331.0,164,9.364105316038593,43,532.0
340,341.0,163,8.86061368915927,40,541.0
350,351.0,159,9.369374799475171,30,324.0
360,361.0,157,9.513290272198363,34,334.0
370,371.0,160,10.340120671813546,28,250.0
380,381.0,158,8.797662329374514,35,336.0
390,391.0,164,8.475900463102091,36,351.0
400,401.0,168,8.15041676775412,53,536.0
410,411.0,169,7.742862286781148,51,696.0
420,421.0,166,7.5632985005504985,49,668.0
430,431.0,167,8.721548386686605,45,704.0
440,441.0,169,8.293869005661177,50,745.0
450,451.0,171,8.58258453329293,46,589.0
460,461.0,175,8.516596103303453,57,885.0
470,471.0,176,8.615143742292014,42,975.0
480,481.0,179,8.351629971662437,58,1084.0
490,491.0,177,7.8683777718520584,51,714.0
500,501.0,179,8.08541753228925,43,750.0
510,511.0,180,8.062406862114965,55,917.0
520,521.0,174,7.8257785831297735,60,1218.0
530,531.0,176,8.39795134265742,48,1130.0
540,541.0,176,7.590032747239797,46,1079.0
550,551.0,178,7.9735763022370465,60,1439.0
560,561.0,173,8.49515706518536,47,805.0
570,571.0,177,8.634228052629934,46,745.0
580,581.0,180,8.885693099028858,39,807.0
590,591.0,184,8.533045795669294,51,852.0
600,601.0,185,7.91155603194863,53,1013.0
610,611.0,187,7.604385330997823,54,1086.0
620,621.0,193,8.29377558740912,54,1097.0
630,631.0,194,8.27305095448766,54,1247.0
640,641.0,196,8.456179868643106,51,1395.0
650,651.0,194,8.371777584069559,56,1685.0
660,661.0,196,7.610678439428485,68,1949.0
670,671.0,201,7.6402091573271225,64,2287.0
680,681.0,199,7.6664029956597775,52,2186.0
690,691.0,202,8.283839777703065,59,2056.0
700,701.0,203,8.550969393548774,53,1739.0
710,711.0,206,8.463566061374939,58,1940.0
720,721.0,203,8.294234824583873,58,2149.0
730,731.0,204,8.622223179427603,58,2214.0
740,741.0,201,7.860219894051681,56,2310.0
750,751.0,202,8.493961681219163,57,2289.0
760,761.0,203,8.132716568342975,64,2553.0
770,771.0,202,7.412817651701012,70,2954.0
780,781.0,205,7.3386742028954215,68,2802.0
790,791.0,208,7.282365219827024,78,2741.0
800,801.0,206,6.99457667609535,63,1573.0
810,811.0,209,7.7009033664531055,50,1339.0
820,821.0,210,8.007414965605529,67,1691.0
830,831.0,211,8.38703244254025,53,716.0
840,841.0,212,8.379855503168079,51,746.0
850,851.0,213,8.558874567823821,56,513.0
860,861.0,216,8.345781140121519,60,668.0
870,871.0,218,7.735071263052267,66,910.0
880,881.0,217,7.942661017315355,71,1153.0
890,891.0,216,8.140388780406882,63,882.0
900,901.0,215,7.990141078578851,58,912.0
910,911.0,207,8.181878574035796,65,1033.0
920,921.0,208,7.426168335381225,65,1158.0
930,931.0,201,7.058513002984303,73,1296.0
940,941.0,204,7.56873136411769,73,1518.0
950,951.0,209,8.014524606670497,65,1756.0
960,961.0,208,7.950920802253946,60,1631.0
970,971.0,207,7.528269036001882,65,1511.0
980,981.0,210,7.758606830452042,72,1857.0
990,991.0,215,7.326893459511627,58,1819.0
1000,1001.0,216,7.731908800904853,67,2009.0
1010,1011.0,216,7.48571619424992,85,2495.0
1020,1021.0,218,7.2294664260789,70,2653.0
1030,1031.0,221,7.278612325437707,70,2651.0
1040,1041.0,223,6.9110130912928245,80,2861.0
1050,1051.0,222,7.51723469753423,75,1888.0
1060,1061.0,220,7.896562300398172,68,2150.0
1070,1071.0,217,7.771035545209067,61,2407.0
1080,1081.0,215,7.991216120370574,71,2737.0
1090,1091.0,215,7.62463149326175,77,3063.0
1100,1101.0,212,6.761750730767309,79,3418.0
1110,1111.0,213,7.183529067815275,66,2861.0
1120,1121.0,211,7.92877476770928,72,3018.0
1130,1131.0,212,7.010060724649188,74,3247.0
1140,1141.0,215,7.367271398504168,68,3223.0
1150,1151.0,216,7.517318517868339,75,3540.0
1160,1161.0,218,6.510593025920129,88,3910.0
1170,1171.0,223,7.069960205118053,83,3489.0
1180,1181.0,223,7.514582797409873,54,1000.0
1190,1191.0,223,8.180824630761908,50,425.0
1200,1201.0,223,8.26009112317215,62,616.0
1210,1211.0,230,7.438726814055513,77,931.0
1220,1221.0,232,6.952833066180002,80,1225.0
1230,1231.0,230,7.700819384261464,71,1355.0
1240,1241.0,228,7.97060796264617,57,1038.0
1250,1251.0,223,7.436332467388286,70,1343.0
1260,1261.0,225,7.289036566256845,74,1571.0
1270,1271.0,219,6.660686223234276,88,2148.0
1280,1281.0,217,6.516275850798293,84,2498.0
1290,1291.0,215,7.411377218064877,68,2014.0
1300,1301.0,220,6.937356245409509,81,1425.0
1310,1311.0,223,7.384106092508328,73,1688.0
1320,1321.0,225,7.401786491349801,72,1878.0
1330,1331.0,227,7.168027509919348,86,2229.0
1340,1341.0,231,7.047035144361514,80,2307.0
1350,1351.0,232,7.300921733685743,78,2596.0
1360,1361.0,225,7.19390640974799,78,2939.0
1370,1371.0,227,6.873488381128857,76,2895.0
1380,1381.0,228,7.048540373405995,80,2559.0
1390,1391.0,227,6.7020988357414755,89,2623.0
1400,1401.0,229,6.6409029525209435,87,2725.0
1410,1411.0,229,6.659196655624481,81,3016.0
1420,1421.0,234,7.001192727107394,86,3277.0
1430,1431.0,236,6.865318718393711,76,3048.0
1440,1441.0,236,7.581713906176447,69,3194.0
1450,1451.0,236,7.603625124291678,73,3229.0
1460,1461.0,241,8.018073537801806,70,2853.0
1470,1471.0,238,8.480030273311217,67,1672.0
1480,1481.0,236,8.283554377502808,46,772.0
1490,1491.0,237,8.040221244323718,58,683.0
1500,1501.0,234,8.839523467088329,57,399.0
1510,1511.0,236,8.099986802219155,55,431.0
1520,1521.0,234,7.429825691282275,61,416.0
1530,1531.0,237,6.945462113863649,87,781.0
1540,1541.0,238,7.704630475958726,64,791.0
1550,1551.0,236,8.120889107248777,64,706.0
1560,1561.0,233,8.617564058072409,67,820.0
1570,1571.0,232,8.487870887899229,56,946.0
1580,1581.0,228,8.395692093382776,62,1219.0
1590,1591.0,231,8.147361253523103,59,1279.0
1600,1601.0,233,8.874963760268141,54,1220.0
1610,1611.0,235,8.610778366907486,61,761.0
1620,1621.0,236,8.476605844320677,46,336.0
1630,1631.0,234,8.211859783405613,65,531.0
1640,1641.0,235,7.2773912776171485,70,697.0
1650,1651.0,234,8.187701848803547,45,434.0
1660,1661.0,230,8.217524289099423,63,625.0
1670,1671.0,223,7.616338598603053,73,1037.0
1680,1681.0,222,7.58154057517544,73,1258.0
1690,1691.0,217,7.729182456218929,68,1148.0
1700,1701.0,215,6.888853519340279,75,1259.0
1710,1711.0,221,7.284998542083809,67,1382.0
1720,1721.0,217,6.731680039143902,91,1892.0
1730,1731.0,218,6.721297660614777,83,2258.0
1740,1741.0,218,7.059741568775066,67,2195.0
1750,1751.0,221,7.013680549274927,85,2384.0
1760,1761.0,222,7.01350134421519,74,2378.0
1770,1771.0,223,7.152548020901226,69,2286.0
1780,1781.0,225,7.161088169412671,78,2785.0
1790,1791.0,228,7.49013382808345,72,3082.0
1800,1801.0,227,7.370067926607082,86,3529.0
1810,1811.0,229,6.461870334006385,91,3754.0
1820,1821.0,228,6.264556596477256,84,3693.0
1830,1831.0,230,6.184480402969151,101,4123.0
1840,1841.0,229,6.680811059105256,86,4532.0
1850,1851.0,235,7.35535367774389,77,4537.0
1860,1861.0,234,6.811592470573824,97,5002.0
1870,1871.0,234,6.566839677597552,93,5603.0
1880,1881.0,235,6.118969789585958,96,6024.0
1890,1891.0,238,6.157838067405203,108,6702.0
1900,1901.0,241,6.857198217567027,97,5856.0
1910,1911.0,243,6.984540385954122,89,4280.0
1920,1921.0,245,6.763633077534043,99,3956.0
1930,1931.0,252,7.464626828447409,69,3160.0
1940,1941.0,258,6.642580689201622,90,3509.0
1950,1951.0,259,6.33599902329014,113,4212.0
1960,1961.0,253,6.5227937509711476,88,4445.0
1970,1971.0,251,7.0320333486473645,83,2690.0
1980,1981.0,250,6.5833403353605116,100,2520.0
1990,1991.0,246,6.722833449691823,100,2844.0
2000,2001.0,246,6.323304419779053,96,3232.0
2010,2011.0,243,6.520077720658105,100,3611.0
2020,2021.0,243,6.718542228255485,99,3622.0
2030,2031.0,243,6.884445941831326,98,4213.0
2040,2041.0,242,7.466105338422351,70,4134.0
2050,2051.0,240,7.358051726384485,78,3540.0
2060,2061.0,244,7.0078672081381885,86,3864.0
2070,2071.0,238,7.811499922476008,68,3967.0
2080,2081.0,240,7.652444187556621,81,3366.0
2090,2091.0,241,7.233458541418222,80,2428.0
2100,2101.0,233,7.328388090765265,54,365.0
2110,2111.0,234,7.284842232673557,70,562.0
2120,2121.0,227,7.87110305628131,76,1090.0
2130,2131.0,225,7.513140224157735,73,1272.0
2140,2141.0,227,7.162091136808981,74,974.0
2150,2151.0,227,7.059400075806163,75,1277.0
2160,2161.0,226,7.272635841623834,79,1553.0
2170,2171.0,231,6.896334609836675,93,2074.0
2180,2181.0,228,7.1762390609473785,80,2299.0
2190,2191.0,236,7.765421975172069,66,2025.0
2200,2201.0,233,7.714477976905872,82,2248.0
2210,2211.0,233,7.445306707416137,82,2645.0
2220,2221.0,232,6.840021441947399,85,2793.0
2230,2231.0,234,6.821803934039371,89,3051.0
2240,2241.0,240,6.387703929414701,94,3446.0
2250,2251.0,243,6.587033414461033,83,3642.0
2260,2261.0,243,6.852018870603334,92,4122.0
2270,2271.0,244,6.666293479559602,80,4180.0
2280,2281.0,244,7.12103198452915,87,4186.0
2290,2291.0,250,6.725419292392329,99,4759.0
2300,2301.0,250,6.898028386659159,93,5239.0
2310,2311.0,250,7.023889283050883,99,5767.0
2320,2321.0,249,6.91265369960986,96,6061.0
2330,2331.0,253,6.85211698862832,86,6392.0
2340,2341.0,250,6.863917106259314,85,6055.0
2350,2351.0,248,7.166017859535823,95,6395.0
2360,2361.0,246,6.739234875981339,87,6680.0
2370,2371.0,249,6.292153407552816,101,7233.0
2380,2381.0,248,6.428575754166083,98,7790.0
2390,2391.0,251,6.292052201596064,79,6172.0
2400,2401.0,253,6.643124502074558,87,3487.0
2410,2411.0,249,7.096455574236411,81,1605.0
2420,2421.0,251,6.896759143162914,80,1203.0
2430,2431.0,250,6.1411557533751475,108,1701.0
2440,2441.0,249,7.218555560101748,73,1362.0
2450,2451.0,248,7.950290878578235,86,1538.0
2460,2461.0,249,6.998025806987634,99,2060.0
2470,2471.0,253,6.839133865272655,101,2262.0
2480,2481.0,250,6.251808198022419,103,2818.0
2490,2491.0,244,6.602628556989789,106,3039.0
2500,2501.0,248,6.963627389018456,88,3147.0
2510,2511.0,249,7.303817230443069,93,3697.0
2520,2521.0,252,7.344647295160571,85,3909.0
2530,2531.0,248,7.11439728887048,83,3246.0
2540,2541.0,251,6.821574792690055,104,3762.0
2550,2551.0,252,6.762655205514818,91,4127.0
2560,2561.0,250,7.204363329189933,91,4319.0
2570,2571.0,253,6.825336830264953,100,4761.0
2580,2581.0,255,7.165803321195702,79,4749.0
2590,2591.0,254,7.324826732953846,91,5118.0
2600,2601.0,251,6.981744118616133,93,5621.0
2610,2611.0,246,6.767209395702063,92,5860.0
2620,2621.0,246,6.473154541576895,103,6494.0
2630,2631.0,247,6.744242257366045,102,7146.0
2640,2641.0,243,6.652822708730977,87,7280.0
2650,2651.0,238,6.842762193868331,87,7367.0
2660,2661.0,239,6.493217490355645,100,7896.0
2670,2671.0,239,6.61812377160869,95,8319.0
2680,2681.0,241,5.5804203054916455,115,8877.0
2690,2691.0,243,6.1276596193322534,104,9176.0
2700,2701.0,240,6.897027246581503,97,9576.0
2710,2711.0,244,6.974112799565261,89,8437.0
2720,2721.0,243,6.821628044327731,78,7600.0
2730,2731.0,242,7.689169576979965,71,4204.0
2740,2741.0,240,7.40159704080053,78,2246.0
2750,2751.0,237,7.571836684811068,67,1403.0
2760,2761.0,241,7.067920311988553,84,871.0
2770,2771.0,242,6.583161649414852,91,1044.0
2780,2781.0,240,6.921526980691697,81,1200.0
2790,2791.0,246,6.704927558680583,95,1728.0
2800,2801.0,242,6.692131042604334,83,1931.0
2810,2811.0,244,7.177418794361145,88,2247.0
2820,2821.0,242,7.293769684275336,81,2230.0
2830,2831.0,242,7.217273178489823,80,2262.0
2840,2841.0,245,6.980419746186169,88,2627.0
2850,2851.0,248,7.201375678244231,94,3020.0
2860,2861.0,241,6.440520144818451,93,3437.0
2870,2871.0,239,6.330891700018032,82,3579.0
2880,2881.0,239,6.684113556775643,103,4164.0
2890,2891.0,239,5.754107561304407,99,4658.0
2900,2901.0,239,6.246782065174755,89,3271.0
2910,2911.0,244,6.668132037834406,89,2766.0
2920,2921.0,240,7.140632936890535,94,3167.0
2930,2931.0,243,5.828979455982105,110,3819.0
2940,2941.0,246,6.13222595405111,102,3935.0
2950,2951.0,252,6.310318309232491,104,4188.0
2960,2961.0,253,5.9763756549163976,118,5033.0
2970,2971.0,260,5.999448817506959,110,5417.0
2980,2981.0,265,6.021615790047638,104,5541.0
2990,2991.0,266,6.076653248113953,121,6337.0
3000,3001.0,260,5.939326795156779,116,7006.0
3010,3011.0,261,5.666120857485871,116,7408.0
3020,3021.0,266,6.024114390668328,118,7816.0
3030,3031.0,267,6.0210904123818185,124,8570.0
3040,3041.0,263,6.062517619539077,106,8093.0
3050,3051.0,264,5.24870830805522,136,8866.0
3060,3061.0,270,5.828523481853378,133,9778.0
3070,3071.0,268,5.785958384496184,119,8526.0
3080,3081.0,270,5.925056125502664,119,8194.0
3090,3091.0,266,5.871371949465598,117,8440.0
3100,3101.0,266,6.09630562067715,122,8354.0
3110,3111.0,265,6.349804137887084,116,7278.0
3120,3121.0,263,6.3642728618969135,106,7431.0
3130,3131.0,266,6.123385336866716,110,7891.0
3140,3141.0,270,5.895624755945926,108,8383.0
3150,3151.0,265,6.074752790534241,118,8483.0
3160,3161.0,270,5.804722266179554,119,9132.0
3170,3171.0,276,6.143293424189616,125,9769.0
3180,3181.0,278,5.799686193042187,127,10028.0
3190,3191.0,276,5.881898648051813,128,10552.0
3200,3201.0,277,5.698572836778871,113,8477.0
3210,3211.0,277,6.279846969065983,111,4606.0
3220,3221.0,276,6.751649645536005,115,4219.0
3230,3231.0,279,6.650678773476672,109,4877.0
3240,3241.0,282,6.671740138944567,108,5425.0
3250,3251.0,279,6.422425221475,119,6198.0
3260,3261.0,274,6.509384670317715,110,6861.0
3270,3271.0,277,6.596301579662814,112,7381.0
3280,3281.0,278,6.897101355536806,107,7475.0
3290,3291.0,281,6.104153917790313,115,7526.0
3300,3301.0,281,6.629424428492124,113,8245.0
3310,3311.0,280,6.528995134951216,113,8833.0
3320,3321.0,280,6.554827928503892,120,9387.0
3330,3331.0,277,7.001882291823932,114,10091.0
3340,3341.0,272,6.905721333029324,119,10687.0
3350,3351.0,271,6.91025924379657,103,9981.0
3360,3361.0,268,6.3244835384182165,103,9576.0
3370,3371.0,268,6.315007245622225,118,10037.0
3380,3381.0,268,6.248078692266732,111,8793.0
3390,3391.0,266,6.445943780016777,106,9257.0
3400,3401.0,265,5.745237307567437,116,9874.0
3410,3411.0,263,6.088521293455447,116,10057.0
3420,3421.0,264,6.0908704263374664,108,7975.0
3430,3431.0,264,6.094513466894932,112,8126.0
3440,3441.0,261,5.245518676044384,121,8672.0
3450,3451.0,259,5.806771070919549,114,8631.0
3460,3461.0,260,6.107872939695947,111,9105.0
3470,3471.0,264,6.231128647524742,111,9689.0
3480,3481.0,264,5.8803527783096055,117,10113.0
3490,3491.0,270,6.12666750364231,123,10657.0
3500,3501.0,268,6.18339033994038,117,10411.0
3510,3511.0,274,6.163378806220909,98,3769.0
3520,3521.0,271,5.849647886708424,131,2998.0
3530,3531.0,274,5.323967511155712,128,2984.0
3540,3541.0,274,5.672988347301635,116,3212.0
3550,3551.0,278,5.806631363804553,132,3988.0
3560,3561.0,281,5.506231455217617,134,4563.0
3570,3571.0,283,5.7018221591689136,126,5034.0
3580,3581.0,286,6.33054643046476,115,5482.0
3590,3591.0,286,6.114935528880685,118,6060.0
